,PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,HelpfulActivity,SatisfactionScore
0,O733,,Waking up/Fresh,22/02/2022,20,Tuesday,09:30,10:00,30.0,1,1,1
1,ED145,,Eating food,22/02/2022,20,Tuesday,10:15,10:45,30.0,2,1,2
2,EL642,,Listening to Lecture videos,22/02/2022,20,Tuesday,11:15,14:00,165.0,0,1,1
3,ED145,,Eating food,22/02/2022,20,Tuesday,14:30,15:00,30.0,-1,1,1
4,S801,,Sleep,23/02/2022,20,Wednesday,15:15,17:00,105.0,1,1,1
5,CW982,M893,Complete assignment,22/02/2022,20,Tuesday,17:30,21:30,240.0,0,1,2
6,UD415,,Netflix,22/02/2022,20,Tuesday,22:00,23:30,90.0,2,-1,-1
7,S801,,Sleep,23/02/2022,20,Wednesday,01:30,08:00,390.0,2,0,0
8,R523,,Fiction,23/02/2022,20,Wednesday,08:45,10:45,120.0,-2,-1,2
9,ED145,UD415,Eating food,23/02/2022,20,Wednesday,11:00,11:30,30.0,2,1,0
10,EL642,,Panopto Lecture,22/02/2022,20,Tuesday,12:00,15:00,180.0,0,1,-1
11,PW101,,Part time,23/02/2022,20,Wednesday,16:00,10:00,1080.0,-1,1,0
12,S801,,sleep,24/02/2022,20,Thursday,01:00,09:30,510.0,2,1,2
13,ED145,,Eating food,24/02/2022,20,Thursday,09:45,10:10,25.0,-1,1,-1
14,EL642,,Lectures,24/02/2022,20,Thursday,10:30,15:30,300.0,1,1,2
15,H179,,cooking,24/02/2022,20,Thursday,16:00,19:00,180.0,0,1,2
16,L418,,Movies,24/02/2022,20,Thursday,20:00,23:00,180.0,2,-1,1
