PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,AdditionalData1,AdditionalData2
S801,,Sleeping,2022-02-21,21,Monday,00:00:00,09:00:00,540.0,1.0,,
O733,,Self-clean,2022-02-21,21,Monday,09:05:00,09:20:00,15.0,0.0,,
UD415,ED145,Watching video and eat some fruits,2022-02-21,21,Monday,09:30:00,10:30:00,60.0,1.0,1.0,
EL642,UD415,Reviewing lecture and Listening some music,2022-02-21,21,Monday,10:40:00,12:00:00,80.0,1.0,,3.0
EL642,UD415,Online lecture,2022-02-21,21,Monday,12:15:00,13:05:00,50.0,0.0,,
T695,,Going to school,2022-02-21,21,Monday,13:30:00,13:50:00,20.0,0.0,,
EL642,,Taking a lecture,2022-02-21,21,Monday,14:15:00,15:05:00,50.0,0.0,,
T695,,Back home,2022-02-21,21,Monday,15:20:00,15:40:00,20.0,1.0,,
UD415,,Watching video ,2022-02-21,21,Monday,16:00:00,17:00:00,60.0,1.0,,
ED145,,Cooking dinner and eating,2022-02-21,21,Monday,17:15:00,18:50:00,95.0,0.0,,
CW982,UD415,Doing course work,2022-02-21,21,Monday,19:00:00,22:00:00,180.0,-1.0,,
L418,UD415,Playing computer games,2022-02-21,21,Monday,22:10:00,23:30:00,80.0,2.0,,
S801,,Sleeping,2022-02-22,21,Tuesday,00:00:00,08:00:00,480.0,1.0,,
O733,,Self-clean,2022-02-22,21,Tuesday,08:00:00,08:15:00,15.0,0.0,,
ED145,,Eating breakfast,2022-02-22,21,Tuesday,08:15:00,08:35:00,20.0,1.0,2.0,
T695,,Going to school,2022-02-22,21,Tuesday,08:40:00,09:00:00,20.0,0.0,,
EL642,,Taking a lecture,2022-02-22,21,Tuesday,09:15:00,12:15:00,180.0,0.0,,4.0
T695,,Back home,2022-02-22,21,Tuesday,12:25:00,12:45:00,20.0,0.0,,
ED145,,Eating lunch,2022-02-22,21,Tuesday,13:00:00,13:30:00,30.0,1.0,,
S801,,Taking a break,2022-02-22,21,Tuesday,13:50:00,14:50:00,60.0,0.0,,
UD415,,Watching video,2022-02-22,21,Tuesday,15:00:00,16:00:00,60.0,1.0,,
EL642,UD415,Online lecture,2022-02-22,21,Tuesday,16:15:00,17:05:00,50.0,0.0,,
ED145,,Cooking dinner and eating,2022-02-22,21,Tuesday,17:30:00,18:50:00,80.0,1.0,,
EL642,UD415,Reviewing lecture and Listening some music,2022-02-22,21,Tuesday,19:00:00,20:00:00,60.0,1.0,,
UD415,,Watching football match online,2022-02-22,21,Tuesday,20:00:00,22:00:00,120.0,1.0,,
CW982,UD415,Doing course work,2022-02-22,21,Tuesday,22:00:00,23:00:00,60.0,0.0,,
S801,,Sleeping,2022-02-23,21,Wednesday,00:00:00,09:30:00,570.0,1.0,,
O733,,Self-clean,2022-02-23,21,Wednesday,09:35:00,09:50:00,15.0,0.0,,
EL642,UD415,Previewing lecture and Listening some music,2022-02-23,21,Wednesday,10:00:00,11:30:00,90.0,1.0,0.0,2.0
ED145,,Eating lunch,2022-02-23,21,Wednesday,11:50:00,12:30:00,40.0,1.0,,
S801,,Taking a break,2022-02-23,21,Wednesday,13:00:00,14:00:00,60.0,1.0,,
CW982,UD415,Doing course work,2022-02-23,21,Wednesday,14:20:00,16:30:00,130.0,0.0,,
UD415,,Watching video,2022-02-23,21,Wednesday,16:40:00,17:30:00,50.0,1.0,,
X893,,Playing basketball,2022-02-23,21,Wednesday,18:00:00,20:00:00,120.0,2.0,,
ED145,,Eating dinner,2022-02-23,21,Wednesday,20:30:00,21:00:00,30.0,1.0,,
UD415,,Watching football match online,2022-02-23,21,Wednesday,21:00:00,22:00:00,60.0,1.0,,
EL642,UD415,Previewing lecture and Listening some music,2022-02-23,21,Wednesday,22:15:00,23:15:00,60.0,1.0,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
,,,2022-02-23,21,Wednesday,,,,,,
