PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,AdditionalData1,AdditionalData2
ED145,L418,,20/02/2022,2,Sunday,11:00,12:30,90,1,,
O733,,Getting dressed,20/02/2022,2,Sunday,12:30,13:15,45,0,,
L418,,,20/02/2022,2,Sunday,13:15,16:30,195,2,,
H179,,,20/02/2022,2,Sunday,16:30,17:45,75,0,,
EL642,,,20/02/2022,2,Sunday,17:45,20:45,180,0,,
ED145,L418,,20/02/2022,2,Sunday,20:45,21:45,60,1,,
O733,,Getting ready for bed,20/02/2022,2,Sunday,21:45,22:45,60,0,,
L418,,,20/02/2022,2,Sunday,22:45,00:45,120,2,,
S801,,,21/02/2022,3,Monday,00:45,09:00,540,1,-1,45
UD415,,Catching up with news,21/02/2022,3,Monday,09:00,09:15,15,-1,,
EL642,,,21/02/2022,3,Monday,09:15,10:15,60,0,,
ED145,L418,,21/02/2022,3,Monday,10:15,10:45,30,0,,
O733,,Getting dressed,21/02/2022,3,Monday,10:45,11:30,15,0,,
T695,,,21/02/2022,3,Monday,11:30,11:45,15,0,,
L418,,Walking around campus,21/02/2022,3,Monday,11:45,12:15,30,0,,
EL642,,,21-Feb,3,Monday,12:15,14:15,120,0,,
T695,,,21/02/2022,3,Monday,14:15,14:30,15,0,,
EL642,,,21/02/2022,3,Monday,14:30,18:30,240,0,,
ED145,L418,,21/02/2022,3,Monday,18:30,20:30,120,1,,
L418,,,21/02/2022,3,Monday,20:30,22:30,120,2,,
O733,,,21/02/2022,3,Monday,22:30,23:00,60,0,,
L418,,Listening to music,21/02/2022,3,Monday,23:00,00:00,60,1,,
S801,,,22/02/2022,3,Tuesday,00:00,09:00,540,1,0,60
ED145,L418,,22/02/2022,3,Tuesday,09:00,09:30,30,1,,
O733,,Getting ready  ,22/02/2022,3,Tuesday,09:30,10:30,60,0,,
T695,,,22/02/2022,3,Tuesday,10:30,11:00,30,0,,
L418,,Walking around campus,22/02/2022,3,Tuesday,11:00,11:15,15,1,,
EL642,,,22/02/2022,3,Tuesday,11:15,12:15,60,1,,
EL642,,,22/0/2022,3,Tuesday,12:15,15:15,180,0,,
L418,,,22/02/2022,3,Tuesday,15:15,17:15,120,2,,
EL642,,,22/02/2022,3,Tuesday,17:15,18:00,45,0,,
L418,,,22/02/2022,3,Tuesday,18:00,19:00,60,1,,
O733,,Meeting friends,22/02/2022,3,Tuesday,19:00,20:00,60,1,,
X893,,,22/02/2022,3,Tuesday,20:00,21:30,90,2,,
T695,,,22/02/2022,3,Tuesday,21:30,22:00,30,0,,
ED145,L418,,22/02/2022,3,Tuesday,22:00,23:30,90,1,,
O733,,,22/02/2022,3,Tuesday,23:30,00:00,30,0,,
S801,,,23/02/2022,3,Wednesday,00:00,10:00,600,1,2,15
ED145,L418,,23/02/2022,3,Wednesday,10:00,11:00,60,1,,
