PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,AdditionalData1,AdditionalData2
X893,X893,,2022-02-20,20,Sunday,06:15:00,08:15:00,120,2,5,8
H179,O733,freshen up and bath,2022-02-20,20,Sunday,08:15:00,09:00:00,45,-2,3,8
ED145,,Break Fast,2022-02-20,20,Sunday,09:00:00,09:30:00,30,1,4,8
R523,,,2022-02-20,20,Sunday,09:30:00,13:30:00,240,2,3,8
ED145,,lunch,2022-02-20,20,Sunday,13:30:00,14:30:00,60,1,3,8
H179,H179,room clean,2022-02-20,20,Sunday,14:30:00,16:30:00,120,-2,3,8
L418,O733,,2022-02-20,20,Sunday,16:30:00,19:30:00,180,2,3,8
R523,,,2022-02-20,20,Sunday,19:30:00,21:30:00,120,1,3,8
ED145,,Break Fast,2022-02-20,20,Sunday,21:30:00,22:30:00,60,2,4,8
S801,,,2022-02-20,20,Sunday,22:30:00,06:15:00,975,2,3,8
X893,X893,,2022-02-21,20,Monday,06:15:00,08:15:00,120,2,5,8
H179,O733,freshen up and bath,2022-02-21,20,Monday,08:15:00,09:00:00,45,-2,3,8
ED145,,Break Fast,2022-02-21,20,Monday,09:00:00,09:30:00,30,1,3,8
R523,,,2022-02-21,20,Monday,09:30:00,13:30:00,240,2,3,8
ED145,,lunch,2022-02-21,20,Monday,13:30:00,14:30:00,60,1,3,8
H179,H179,,2022-02-21,20,Monday,14:30:00,16:30:00,120,-2,1,8
L418,O733,,2022-02-21,20,Monday,16:30:00,19:30:00,180,0,3,8
R523,,,2022-02-21,20,Monday,19:30:00,21:30:00,120,-2,3,8
ED145,,Break Fast,2022-02-21,20,Monday,21:30:00,22:30:00,60,2,3,8
S801,,,2022-02-21,20,Monday,22:30:00,06:15:00,975,2,3,8
X893,X893,,2022-02-22,21,Tuesday,06:15:00,08:15:00,120,0,5,8
H179,O733,freshen up and bath,2022-02-22,21,Tuesday,08:15:00,09:00:00,45,2,4,8
ED145,,Break Fast,2022-02-22,21,Tuesday,09:00:00,09:30:00,30,0,3,8
R523,,,2022-02-22,21,Tuesday,09:30:00,13:30:00,240,1,4,8
ED145,,lunch,2022-02-22,21,Tuesday,13:30:00,14:30:00,60,2,3,8
H179,H179,room clean,2022-02-22,21,Tuesday,14:30:00,16:30:00,120,0,3,8
L418,O733,,2022-02-22,21,Tuesday,16:30:00,19:30:00,180,2,4,8
R523,,,2022-02-22,21,Tuesday,19:30:00,21:30:00,120,2,3,8
ED145,,Break Fast,2022-02-22,21,Tuesday,21:30:00,22:30:00,60,2,3,8
S801,,,2022-02-22,21,Tuesday,22:30:00,06:15:00,975,2,3,8
