PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,AdditionalData1,AdditionalData2
L418,,Watching Short Video,2022/2/21,21,Monday,00:00,00:30,30,2,1,No required
R523,,Reading a book,2022/2/21,21,Monday,00:30,01:00,30,1,1,Social science
S801,,Good dream,2022/2/21,21,Monday,01:00,09:00,480,2,1,No required
R523,,Read the entire book,2022/2/21,21,Monday,09:00,11:00,120,1,0,Social science
CW982,UD415,Do RL Coursework,2022/2/21,21,Monday,11:00,12:00,60,0,0,No required
ED145,,Prepare and have lunch,2022/2/21,21,Monday,12:00,12:30,30,-2,1,No required
O733,L418,"On the way to Uni, talking with friends",2022/2/21,21,Monday,12:30,13:15,45,2,1,No required
EL642,,Take lecture,2022/2/21,21,Monday,13:15,14:15,60,2,0,No required
O733,L418,"On the way to gym, talking with friends",2022/2/21,21,Monday,14:15,14:30,15,2,1,No required
X893,O733,Do exercise while talking,2022/2/21,21,Monday,14:30,16:30,120,-1,1,No required
O733,,Go back home,2022/2/21,21,Monday,16:30,17:00,30,-1,1,No required
S801,,Take a nap,2022/2/21,21,Monday,17:00,18:00,60,2,1,No required
ED145,L418,Prepare and have dinner,2022/2/21,21,Monday,18:00,18:45,45,2,1,No required
CW982,UD415,Prepare lessons before class and do coursework,2022/2/21,21,Monday,18:45,21:45,180,0,-1,No required
L418,UD415,Short video,2022/2/21,21,Monday,21:45,22:45,60,2,1,No required
R523,,Start a new book,2022/2/21,21,Monday,22:45,23:15,30,2,0,Literature
S801,,Good dream,2022/2/23,21,Wednesday,00:00,09:00,540,2,1,No required
H179,O733,Show and clean the room,2022/2/23,21,Wednesday,09:00,09:15,15,0,1,No required
CW982,,Do coursework,2022/2/23,21,Wednesday,09:15,10:45,90,0,1,No required
O733,,On the way to Uni,2022/2/23,21,Wednesday,10:45,11:15,30,-2,1,No required
EL642,,Lab,2022/2/23,21,Wednesday,11:15,13:00,105,-1,0,No required
ED145,,Have lunch,2022/2/23,21,Wednesday,13:00,13:30,30,0,1,No required
CW982,,Prepare lessons before class and do coursework,2022/2/23,21,Wednesday,13:30,16:15,165,1,1,No required
EL642,,Another Lab,2022/2/23,21,Wednesday,16:15,17:15,60,0,-1,No required
O733,,On the way to gym,2022/2/23,21,Wednesday,17:15,17:30,15,2,1,No required
X893,,Do exercise while talking,2022/2/23,21,Wednesday,17:30,19:30,120,-1,1,No required
O733,,Go back home,2022/2/23,21,Wednesday,19:30,19:45,15,0,1,No required
S801,,Take a nap,2022/2/23,21,Wednesday,19:45,20:45,60,2,1,No required
ED145,UD415,Prepare and have dinner,2022/2/23,21,Wednesday,20:45,21:45,60,0,-1,No required
L418,,Watching movies,2022/2/23,21,Wednesday,21:45,00:00,135,1,1,No required
R523,,Reading a book,2022/2/24,21,Thursday,00:00,00:30,30,0,1,Literature
S801,,Good dream,2022/2/24,21,Thursday,00:30,09:30,540,2,1,No required
O733,UD415,Chating with family,2022/2/24,21,Thursday,09:30,10:00,30,2,1,No required
CW982,,Do coursework,2022/2/24,21,Thursday,10:00,11:30,90,0,0,No required
H179,,Washing clothes,2022/2/24,21,Thursday,11:30,11:45,15,0,1,No required
R523,UD415,Read news,2022/2/24,21,Thursday,11:45,12:00,15,-2,1,News
CW982,,Do coursework,2022/2/24,21,Thursday,12:00,13:30,90,-1,0,No required
O733,,Have lunch,2022/2/24,21,Thursday,13:30,14:00,30,0,0,No required
X893,,Do exercise while talking,2022/2/24,21,Thursday,14:00,16:00,120,-2,1,No required
EL642,,Learn German language,2022/2/24,21,Thursday,16:00,18:00,120,-2,0,No required
EL642,,Learn English language,2022/2/24,21,Thursday,18:00,20:00,120,1,1,No required
O733,,Go back home,2022/2/24,21,Thursday,20:00,20:15,15,0,1,No required
ED145,,Prepare and have dinner,2022/2/24,21,Thursday,20:15,21:00,45,2,-1,No required
