PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,AdditionalData1,AdditionalData2
S801,,Sleeping,21/02/2022,21,Monday,11:20,07:00,1180.0,2,No,
O733,,Coocking,21/02/2022,21,Monday,07:00,07:55,55.0,0,,
ED145,ED001,Breakfast,21/02/2022,21,Monday,08:00,08:45,45.0,1,,
UD415,,Cellphone,21/02/2022,21,Monday,09:00,09:15,15.0,1,,
CW982,,Coursework,21/02/2022,21,Monday,09:15,11:00,105.0,-1,,
ED145,ED002,Lunch,21/02/2022,21,Monday,11:00,11:30,30.0,1,,
T695,,Waiting bus,21/02/2022,21,Monday,11:30,12:00,30.0,-2,,
CW982,,Lectures,21/02/2022,21,Monday,12:15,15:05,170.0,1,,
T695,,Traveling to accomodation,21/02/2022,21,Monday,15:05,15:40,35.0,-1,,
O733,,Coocking,21/02/2022,21,Monday,15:50,16:40,50.0,-1,,
ED145,,Meal,21/02/2022,21,Monday,16:40,17:50,70.0,2,,
R523,,Reading,21/02/2022,21,Monday,18:00,19:00,60.0,1,,
H179,,Housework,21/02/2022,21,Monday,19:00,20:00,60.0,0,,
L418,,Videogames/cellphone,21/02/2022,21,Monday,20:00,21:00,60.0,2,,
O733,,Coocking,21/02/2022,21,Monday,21:00,21:30,30.0,0,,
ED145,ED003,Dinner,21/02/2022,21,Monday,21:30,22:00,30.0,2,,
L418,,Netflix,21/02/2022,21,Monday,22:00,23:30,90.0,0,,
O733,,Shower,21/02/2022,21,Monday,23:30,23:45,15.0,0,,
S801,,Sleeping,21/02/2022,21,Monday,23:50,07:30,460.0,-1,Yes,
ED145,ED001,Breakfast,22/02/2022,21,Tuesday,07:30,08:00,30.0,0,,
T695,,Waiting bus,22/02/2022,21,Tuesday,08:00,08:20,20.0,-1,,
H179,,Lectures,22/02/2022,21,Tuesday,09:15,14:00,285.0,2,,
ED145,ED002,Lunch,22/02/2022,21,Tuesday,14:00,14:30,30.0,1,,
X893,,Excercise,22/02/2022,21,Tuesday,14:30,16:00,90.0,2,,No
CW982,,Lectures,22/02/2022,21,Tuesday,16:15,17:05,50.0,0,,
T695,,Traveling to accomodation,22/02/2022,21,Tuesday,17:20,17:50,30.0,0,,
O733,,Coocking,22/02/2022,21,Tuesday,18:00,18:30,30.0,-1,,
ED145,,Meal,22/02/2022,21,Tuesday,18:30,19:00,30.0,1,,
S801,,Sleeping,22/02/2022,21,Tuesday,19:00,20:00,60.0,0,Yes,
O733,,Shower,22/02/2022,21,Tuesday,20:15,20:30,15.0,1,,
CW982,,Coursework,22/02/2022,21,Tuesday,20:30,23:40,190.0,-1,,
L418,,Movies,22/02/2022,21,Tuesday,23:50,02:30,160.0,1,,
H179,,Sleeping,23/02/2022,21,Wednesday,02:30,11:00,510.0,0,No,
ED145,ED001,Breakfast,23/02/2022,21,Wednesday,11:00,11:35,35.0,1,,
UD415,,Excercise,23/02/2022,21,Wednesday,11:40,12:30,50.0,1,,Yes
O733,,coocking,23/02/2022,21,Wednesday,12:30,13:00,30.0,1,,
ED145,ED002,Lunch,23/02/2022,21,Wednesday,13:00,13:30,30.0,1,,
T695,,Waiting bus,23/02/2022,21,Wednesday,13:30,13:55,25.0,2,,
CW982,,Lectures,23/02/2022,21,Wednesday,14:15,18:00,225.0,0,,
T695,,Traveling to accomodation,23/02/2022,21,Wednesday,18:00,18:15,15.0,0,,
O733,,Coocking,23/02/2022,21,Wednesday,18:20,19:00,40.0,0,,
ED145,,Meal/dinner,23/02/2022,21,Wednesday,19:00,19:45,45.0,2,,
L418,,Gathering,23/02/2022,21,Wednesday,20:00,23:00,180.0,1,,
L418,,Videogames/cellphone,23/02/2022,21,Wednesday,23:00,01:00,120.0,1,,
S801,,Sleeping,23/02/2022,21,Wednesday,01:00,09:20,500.0,2,No,
