PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,AdditionalData1,AdditionalData2
S801,,,2022-02-18,20,Friday,23:30:00,07:30:00,480,2,Proper Sleep,Not Tired
O733,,Taking a shower and getting fresh,2022-02-19,20,Saturday,07:30:00,08:00:00,30,1,Proper Sleep,Not Tired
ED145,,Breakfast,2022-02-19,20,Saturday,08:00:00,08:30:00,30,2,Proper Sleep,Not Tired
L418,,Watching a film,2022-02-19,20,Saturday,08:30:00,11:30:00,180,2,Proper Sleep,Not Tired
CW892,,,2022-02-19,20,Saturday,11:30:00,14:30:00,180,-2,Proper Sleep,Very Less Tired
ED145,,Lunch,2022-02-19,20,Saturday,14:30:00,15:30:00,60,1,Proper Sleep,Very Less Tired
UD415,,,2022-02-19,20,Saturday,15:30:00,17:30:00,120,1,Proper Sleep,Very Less Tired
O733,,Taking a long walk,2022-02-19,20,Saturday,17:30:00,18:30:00,60,1,Proper Sleep,Less Tired
UD415,,,2022-02-19,20,Saturday,18:30:00,19:30:00,60,2,Proper Sleep,Less Tired
EL642,,Watching recorded lectures,2022-02-19,20,Saturday,19:30:00,21:30:00,120,0,Proper Sleep,Less Tired
ED145,,Dinner,2022-02-19,20,Saturday,21:30:00,22:00:00,30,1,Proper Sleep,Less Tired
UD415,,,2022-02-19,20,Saturday,22:00:00,01:30:00,210,1,Proper Sleep,Less Tired
S801,,,2022-02-20,20,Sunday,01:30:00,07:30:00,360,1,Improper sleep,Very Less Tired
O733,,Taking a shower and getting fresh,2022-02-20,20,Sunday,07:30:00,08:00:00,30,1,Improper sleep,Very Less Tired
ED145,,Breakfast,2022-02-20,20,Sunday,08:00:00,08:30:00,30,2,Improper sleep,Very Less Tired
L418,,Watching TV,2022-02-20,20,Sunday,08:30:00,10:30:00,120,2,Improper sleep,Very Less Tired
CW892,,,2022-02-20,20,Sunday,10:30:00,14:30:00,240,-1,Improper sleep,Tired
ED145,,Lunch,2022-02-20,20,Sunday,14:30:00,15:30:00,60,1,Improper sleep,Less Tired
O733,,Taking a long walk,2022-02-20,20,Sunday,15:30:00,17:30:00,120,2,Improper sleep,Very Tired
UD415,,,2022-02-20,20,Sunday,17:30:00,19:00:00,90,1,Improper sleep,Very Tired
L418,,Watching a film,2022-02-20,20,Sunday,19:00:00,21:00:00,120,2,Improper sleep,Very Tired
ED145,,Dinner,2022-02-20,20,Sunday,21:00:00,21:30:00,30,1,Improper sleep,Very Tired
CW892,,,2022-02-20,20,Sunday,21:30:00,23:00:00,90,-1,Improper sleep,Very Tired
S801,,,2022-02-20,20,Sunday,23:00:00,08:00:00,540,2,Proper Sleep,Not Tired
O733,,Taking a shower and getting fresh,2022-02-21,20,Monday,08:00:00,08:30:00,30,1,Proper Sleep,Not Tired
ED145,,Breakfast,2022-02-21,20,Monday,08:30:00,08:45:00,15,2,Proper Sleep,Not Tired
R523,,Reading news articles,2022-02-21,20,Monday,08:45:00,09:30:00,45,0,Proper Sleep,Not Tired
UD415,,,2022-02-21,20,Monday,09:30:00,10:45:00,75,1,Proper Sleep,Not Tired
O733,,Getting Dressed ,2022-02-21,20,Monday,10:45:00,11:00:00,15,0,Proper Sleep,Not Tired
O733,,Walking to the bus station,2022-02-21,20,Monday,11:00:00,11:30:00,30,1,Proper Sleep,Very Less Tired
T695,,Taking the bus to university,2022-02-21,20,Monday,11:30:00,13:00:00,90,1,Proper Sleep,Very Less Tired
O733,,Walking to classroom from bus stop,2022-02-21,20,Monday,13:00:00,13:15:00,15,0,Proper Sleep,Very Less Tired
EL642,,Attending classroom lecture,2022-02-21,20,Monday,13:15:00,14:15:00,60,-1,Proper Sleep,Less Tired
O733,,Walking to bus stop from classroom,2022-02-21,20,Monday,14:15:00,14:30:00,15,0,Proper Sleep,Less Tired
T695,,Taking the bus to home,2022-02-21,20,Monday,14:30:00,16:00:00,90,1,Proper Sleep,Less Tired
O733,,Walking to home from bus station,2022-02-21,20,Monday,16:00:00,16:30:00,30,1,Proper Sleep,Less Tired
UD415,,,2022-02-21,20,Monday,16:30:00,18:00:00,90,1,Proper Sleep,Less Tired
ED145,,Having Snacks,2022-02-21,20,Monday,18:00:00,18:15:00,15,2,Proper Sleep,Less Tired
H179,,Cleaning,2022-02-21,20,Monday,18:15:00,19:00:00,45,-2,Proper Sleep,Less Tired
UD415,,,2022-02-21,20,Monday,19:00:00,20:00:00,60,1,Proper Sleep,Less Tired
CW892,,,2022-02-21,20,Monday,20:00:00,21:30:00,90,0,Proper Sleep,Tired
ED145,,Dinner,2022-02-21,20,Monday,21:30:00,22:00:00,30,2,Proper Sleep,Tired
L418,,Watching TV,2022-02-21,20,Monday,22:00:00,23:00:00,60,1,Proper Sleep,Tired
UD415,,,2022-02-21,20,Monday,23:00:00,23:30:00,30,1,Proper Sleep,Tired
S801,,,2022-02-21,20,Monday,23:30:00,05:00:00,330,0,Improper sleep,Not Tired
