PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,AdditionalData1,AdditionalData2
T695,,Going to campus,22/02/22,21,Tuesday,10:30,11:00,30,0,7,7
T695,UD415,,23/02/22,21,Wednesday,10:30,11:15,45,1,1,1
R523,,Reading,22/02/22,21,Tuesday,09:00,10:00,60,1,7,3
T695,UD415,,23/02/22,21,Wednesday,16:00,16:30,30,1,5,5
O733,,Getting ready,22/02/22,21,Tuesday,10:00,10:30,30,0,7,7
ED145,,,23/02/22,21,Wednesday,17:30,18:00,30,0,6,6
O733,,Getting Ready,23/02/22,21,Wednesday,10:00,10:30,30,0,1,1
L418,,,23/02/22,21,Wednesday,18:00,02:00,480,0,6,9
L418,ED145,,22/02/22,21,Tuesday,17:45,01:00,435,0,5,5
EL642,,,23/02/22,21,Wednesday,16:30,17:30,60,0,5,6
EL642,O733,Bayesian Machine Learning and Music,23/02/22,21,Wednesday,14:15,16:00,105,0,3,5
CW982,O733,Coursework and Music,23/02/22,21,Wednesday,11:15,14:15,180,1,1,3
S801,,Sleep,23/02/22,21,Wednesday,01:00,10:00,540,0,7,1
T695,,Going Home,22/02/22,21,Tuesday,17:00,17:45,45,0,5,5
CW982,,,22/02/22,21,Tuesday,12:00,17:00,300,0,7,5
EL642,,Bayesian Machine Learning,22/02/22,21,Tuesday,11:00,12:00,60,0,7,7
ED145,UD415,,24/02/22,21,Thursday,17:00,17:30,30,0,3,3
ED145,,,24/02/22,21,Thursday,12:15,13:00,45,0,1,1
T695,,,24/02/22,21,Thursday,11:45,12:15,30,0,0,1
T695,,,24/02/22,21,Thursday,13:00,13:15,15,0,1,1
EL642,,,24/02/22,21,Thursday,10:30,11:30,60,0,0,0
L418,O733,Leisure and listening to music,24/02/22,21,Thursday,17:30,01:00,450,1,3,8
O733,,Getting Ready,24/02/22,21,Thursday,11:30,11:45,15,0,0,0
S801,,,24/02/22,21,Thursday,02:00,10:30,510,0,9,0
T695,UD415,,24/02/22,21,Thursday,16:30,17:00,30,0,3,3
CW982,UD415,,24/02/22,21,Thursday,13:15,16:30,195,0,1,3
