PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,AdditionalData1,AdditionalData2
S801,,Sleeping,20/02/2022,20,Sunday,00:00,08:00,480,2,2,
UD415,L418,Browsing on mobile phone,21/02/2022,21,Monday,08:00,08:30,30,1,,
O733,,Making breakfast,21/02/2022,21,Monday,08:30,08:45,15,0,,
ED145,,Having breakfast,21/02/2022,21,Monday,08:45,09:00,15,2,,
O733,,Getting dressed,21/02/2022,21,Monday,09:00,09:45,45,1,,
T695,,Travelling to university,21/02/2022,21,Monday,09:45,10:15,30,-2,,
EL642,,Lab,21/02/2022,21,Monday,10:15,12:15,120,1,,1
ED145,L418,Having coffee with friends,21/02/2022,21,Monday,12:15,13:15,60,2,,
EL642,,Lecture,21/02/2022,21,Monday,13:15,14:00,45,-1,,0
T695,,Travelling home,21/02/2022,21,Monday,14:00,14:30,30,-2,,
O733,,Cooking lunch,21/02/2022,21,Monday,14:30,15:00,30,1,,
ED145,UD415,Having lunch & watching a tv show,21/02/2022,21,Monday,15:00,15:30,30,2,,
H179,,Washing dishes,21/02/2022,21,Monday,15:30,15:45,15,-1,,
UD415,L418,Watching a tv show,21/02/2022,21,Monday,15:45,16:45,60,2,,
EL642,L418,Online pre-recorded lecture,21/02/2022,21,Monday,16:45,17:45,60,1,,1
UD415,L418,Browsing on mobile phone,21/02/2022,21,Monday,17:45,18:15,30,1,,
UD415,L418,Facetime call,21/02/2022,21,Monday,18:15,19:00,45,2,,
O733,,Getting dressed,21/02/2022,21,Monday,19:00,19:15,15,0,,
T695,,Travelling to the gym,21/02/2022,21,Monday,19:15,19:30,15,0,,
X893,,Exercise,21/02/2022,21,Monday,19:30,20:45,75,2,,
T695,,Travelling home,21/02/2022,21,Monday,20:45,21:00,15,-1,,
O733,,Cooking dinner,21/02/2022,21,Monday,21:00,21:15,15,1,,
ED145,,Having dinner,21/02/2022,21,Monday,21:15,21:30,15,2,,
UD415,L418,Watching a tv show,21/02/2022,21,Monday,21:30,22:00,30,2,,
CW982,,Coursework,21/02/2022,21,Monday,22:00,23:00,60,1,,2
O733,,Getting ready for bed,21/02/2022,21,Monday,23:00,23:30,30,0,,
